Species,Lower limit,High,Moderate,Low
Ac,0.9,0.95,1,1.1
Hw,0.82,0.87,0.92,1.07
Bl/Ep,0.83,0.88,0.93,1.08
Cw,0.77,0.82,0.87,1.02
Sx,0.8,0.85,0.9,1.05
Pl/At,0.76,0.81,0.86,1.11
Lw,0.72,0.77,0.82,1.07
Fd,0.6,0.65,0.7,1.05
Py,0.58,0.63,0.68,1.03
